SeriesName,Year
Last Updated: 10/15/2020,1970
Last Updated: 10/15/2020,1971
Last Updated: 10/15/2020,1972
Last Updated: 10/15/2020,1973
Last Updated: 10/15/2020,1974
Last Updated: 10/15/2020,1975
Last Updated: 10/15/2020,1976
Last Updated: 10/15/2020,1977
Last Updated: 10/15/2020,1978
Last Updated: 10/15/2020,1979
Last Updated: 10/15/2020,1980
Last Updated: 10/15/2020,1981
Last Updated: 10/15/2020,1982
Last Updated: 10/15/2020,1983
Last Updated: 10/15/2020,1984
Last Updated: 10/15/2020,1985
Last Updated: 10/15/2020,1986
Last Updated: 10/15/2020,1987
Last Updated: 10/15/2020,1988
Last Updated: 10/15/2020,1989
Last Updated: 10/15/2020,1990
Last Updated: 10/15/2020,1991
Last Updated: 10/15/2020,1992
Last Updated: 10/15/2020,1993
Last Updated: 10/15/2020,1994
Last Updated: 10/15/2020,1995
Last Updated: 10/15/2020,1996
Last Updated: 10/15/2020,1997
Last Updated: 10/15/2020,1998
Last Updated: 10/15/2020,1999
Last Updated: 10/15/2020,2000
Last Updated: 10/15/2020,2001
Last Updated: 10/15/2020,2002
Last Updated: 10/15/2020,2003
Last Updated: 10/15/2020,2004
Last Updated: 10/15/2020,2005
Last Updated: 10/15/2020,2006
Last Updated: 10/15/2020,2007
Last Updated: 10/15/2020,2008
Last Updated: 10/15/2020,2009
Last Updated: 10/15/2020,2010
Last Updated: 10/15/2020,2011
Last Updated: 10/15/2020,2012
Last Updated: 10/15/2020,2013
Last Updated: 10/15/2020,2014
Last Updated: 10/15/2020,2015
Last Updated: 10/15/2020,2016
Last Updated: 10/15/2020,2017
Last Updated: 10/15/2020,2018
Last Updated: 10/15/2020,2019
